UIN,Grid Number,Batch Number,Description/Shape,Size,Glaze Type,Kiln,Material,Condition,Weight,Decoration Exterior,Decoration Interior,Qty,Remarks,Image,Box Label,Highlight
1,E16,B086,Bottle,Medium,B&W,Jingdezhen,Porcelain,Intact,685,Lotus plantain leaves lotus panels,,1,Long flanged neck.,1-a.jpg1-IMG_1360.jpg1-b.jpg,,✓
2,E16,B084,Vase,Medium,B&W,Jingdezhen,Porcelain,Neck and shoulder,245,Ducks in lotus pond lotus panels plantain leaves,,1,,2-E16-B084-Blue-and-white-Bottle-DSC_2335.jpg2-E16-B084-Blue-and-white-Bottle-DSC_2334.jpg2-IMG_1361.jpg,,✓
3,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Parts of rim broken,601,Lotus lotus panels,Lotus bouquets,1,PB087,3-Surface-Find-PB0087-GOT-DSC_0004.jpg3-a.jpg3-Surface-Find-PB0087-GOT-DSC_0007.jpg3-IMG_1362.jpg,,✓
4,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Chipped rim,605,Lotus petals fungus scrolls,Lotus scroll lotus band,1,PB036,4-Surface-Find-PB0036-GOT-DSC_9989.jpg4-Surface-Find-PB0036-GOT-DSC_9984.jpg4-IMG_1363.jpg4-a.jpg,,✓
5,SURVEY,SURVEY,Cover,Large,B&W,Jingdezhen,Porcelain,Knob missing,,Lotus panels scrolls,,1,PB035,5-a.jpg5-Surface-Find-PB0035-GOT-DSC_9742.jpg5-IMG_1364.jpg5-Surface-Find-PB0035-GOT-DSC_9741.jpg,,✓
6,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base,465,Lotus panels,Ducks in lotus pond,1,PB041,6-a.jpg6-IMG_1365.jpg6-Surface-Find-PB0041-GOT-DSC_0002.jpg6-Surface-Find-PB0041-GOT-DSC_9998.jpg,,✓
7,E16,B082,Bowl,Large,B&W,Jingdezhen,Porcelain,Base,1662,Lotus panels,Peony,1,,7-E16-B082-Blue-and-white-Large-Bowl-DSC_2278.jpg7-IMG_1366.jpg7-a.jpg,,✓
8,E16,B090,Dish,Small,B&W,Jingdezhen,Porcelain,Half,75,,Ducks in lotus pond,1,,8-IMG_1367.jpg8-E16-B090-Blue-and-white-DSC_9879.jpg8-a.jpg8-b.jpg,,✓
9,SURVEY,SURVEY,Bowl,Medium,B&W,Jingdezhen,Porcelain,Base to rim,251,,Mandarin ducks in lotus pond,1,PB084,9-Surface-Find-PB0084-GOT-DSC_0096.jpg9-Surface-Find-PB0084-GOT-DSC_0091.jpg9-a.jpg9-IMG_1368.jpg,,✓
21,E17,B095,Guan,Large,B&W,Jingdezhen,Porcelain,Lower body shard,1025,Peony lotus panels with lotus buds,,1,,21-b.jpg21-IMG_1397.jpg21-a.jpg,,
25,E16,B080,Vase,,B&W,Jingdezhen,Porcelain,Shard,33,Waves,,1,,25-P1190807.jpg25-P1190808.jpg25-IMG_1400.jpg,,
26,I12-I13,B078,Stem bowl,Medium,B&W,Jingdezhen,Porcelain,Cavetto and base,235,Lotus panels,Double vajra,1,,26-c.jpg26-b.jpg26-IMG_1401.jpg26-a.jpg,,
29,E17,B091,Dish,Medium,B&W,Jingdezhen,Porcelain,Base,285,Lotus panels,Ducks in lotus pond,1,Half intact,29-IMG_3513.jpg29-IMG_3514.jpg,,
30,E17,B091,Bowl,,B&W,Jingdezhen,Porcelain,Shard,38,Lotus panels,Lotus pond,1,,30-IMG_3549.jpg30-IMG_3548.jpg,,
31,E17,B091,Guan?,,B&W,Jingdezhen,Porcelain,Shards,183,Peony,,1,Eroded,31-b.jpg31-a.jpg,,
